Code	Terminology	Kind	Usage	Line
elsv	version column	Enumeration	Finder : Enumerations	913
empL	empty selection allowed	Parameter of command: choose from list	Standard Additions : User Interaction	914
empt	empty	Command	Finder : Finder items	915
empz	startup	Enumeration	Standard Additions : File Commands	916
empz	startup items	Enumeration	Standard Additions : File Commands	917
empz	startup items folder	Enumeration	Standard Additions : File Commands	918
empz	startup items folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	919
enaB	enabled	Property of class: folder action	System Events : Folder Actions Suite	922
enaB	enabled	Property of class: script	System Events : Folder Actions Suite	925
enaB	enabled	Property of class: UI element	System Events : Processes Suite	927
enbl	enabled	Property of class: track	System Events : QuickTime File Suite	928
encs	encoded string	Class	AppleScript Language	929
encs	encoded strings	Class	AppleScript Language	930
ends	ends with	Command	AppleScript Language	933
endt	end transaction	Command	System Events : System Events Suite	934
enum	constant	Class	AppleScript Language	937
enum	constants	Class	AppleScript Language	938
eof	eof	Enumeration	Standard Additions : File Read/Write	939
eOpt	option	Enumeration	System Events : Processes Suite	940
eppc	remote application URL	Enumeration	Standard Additions : Internet Suite	941
EPS	PostScript picture	Class	AppleScript Language	942
erob	from	Parameter of command: error	AppleScript Language	943
err	error	Command	AppleScript Language	944
errn	number	Parameter of command: error	AppleScript Language	945
errr	error reporting	Parameter of command: open location	Standard Additions : Internet Suite	947
errt	to	Parameter of command: error	AppleScript Language	948
eSft	shift	Enumeration	System Events : Processes Suite	949
esva	File servers	Enumeration	Standard Additions : User Interaction	950
esvd	Directory services	Enumeration	Standard Additions : User Interaction	951
esve	Remote applications	Enumeration	Standard Additions : User Interaction	952
esvf	FTP Servers	Enumeration	Standard Additions : User Interaction	953
esvm	Media servers	Enumeration	Standard Additions : User Interaction	954
esvn	News servers	Enumeration	Standard Additions : User Interaction	955
esvt	Telnet hosts	Enumeration	Standard Additions : User Interaction	956
esvw	Web servers	Enumeration	Standard Additions : User Interaction	957
evin	type event info	Class	AppleScript Language	975
evnt	event	Class	AppleScript Language	976
evnt	events	Class	AppleScript Language	977
exec	do shell script	Command	Standard Additions : Miscellaneous Commands	978
expa	expansion	Enumeration	AppleScript Language	981
exte	extended real	Class	AppleScript Language	983
extn	extensions	Enumeration	Standard Additions : File Commands	985
extn	extensions folder	Enumeration	Standard Additions : File Commands	986
extn	name extension	Property of class: disk item	System Events : Disk-Folder-File Suite	987
extz	extensions folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	988
faal	using	Parameter of command: attach action to	System Events : Folder Actions Suite	989
faal	using	Parameter of command: key code	System Events : Processes Suite	990
faal	using	Parameter of command: keystroke	System Events : Processes Suite	991
faen	folder actions enabled	Property of class: application	System Events : System Events Suite	992
fals	false	Enumeration	AppleScript Language	993
fasf	Folder Action scripts	Enumeration	Standard Additions : File Commands	994
fasf	Folder Action scripts folder	Enumeration	Standard Additions : File Commands	995
fasf	Folder Action scripts folder	Property of class: application	System Events : System Events Suite	996
fasf	Folder Action scripts folder	Property of class: domain	System Events : Disk-Folder-File Suite	997
favs	favorites folder	Enumeration	Standard Additions : File Commands	998
favs	favorites folder	Property of class: application	System Events : System Events Suite	999
favs	favorites folder	Property of class: user domain object	System Events : Disk-Folder-File Suite	1000
faxn	fax number	Property of class: print settings	Cocoa Scripting : Type Definitions	1001
fclo	closing folder window for	Command	Standard Additions : Folder Actions	1002
fclu	clean up	Command	Finder : Finder items	1003
fcrt	creator type	Property of class: alias	System Events : Disk-Folder-File Suite	1004
fcrt	creator type	Property of class: file	Finder : Files	1005
fcrt	creator type	Property of class: file	System Events : Disk-Folder-File Suite	1006
fcrt	creator type	Property of class: process	Finder : Legacy suite	1007
fcrt	creator type	Property of class: process	System Events : Processes Suite	1008
feb	February	Class	AppleScript Language	1009
feet	feet	Class	AppleScript Language	1010
fera	erase	Command	Finder : Finder items	1011
ffav	add to favorites	Command	Finder : Finder items	1012
ffdr	path to	Command	Standard Additions : File Commands	1013
ffnd	find	Command	Finder : Finder Basics	1014
fget	adding folder items to	Command	Standard Additions : Folder Actions	1015
file	file	Class	AppleScript Language	1017
file	file	Class	Finder : Files	1018
file	file	Class	System Events : Disk-Folder-File Suite	1019
file	file	Property of class: process	Finder : Legacy suite	1020
file	file	Property of class: process	System Events : Processes Suite	1021
file	file URL (obsolete)	Enumeration	Standard Additions : Internet Suite	1022
file	files	Class	AppleScript Language	1023
file	files	Class	Finder : Files	1024
file	files	Class	System Events : Disk-Folder-File Suite	1025
fits	screen	Enumeration	System Events : QuickTime File Suite	1032
fixd	fixed	Class	AppleScript Language	1034
fldc	Classic domain	Enumeration	Standard Additions : File Commands	1036
fldc	Classic domain	Property of class: application	System Events : System Events Suite	1037
fldl	local domain	Enumeration	Standard Additions : File Commands	1038
fldl	local domain	Property of class: application	System Events : System Events Suite	1039
fldn	network domain	Enumeration	Standard Additions : File Commands	1040
fldn	network domain	Property of class: application	System Events : System Events Suite	1041
flds	system domain	Enumeration	Standard Additions : File Commands	1042
flds	system domain	Property of class: application	System Events : System Events Suite	1043
fldu	user domain	Enumeration	Standard Additions : File Commands	1044
fldu	user domain	Property of class: application	System Events : System Events Suite	1045
flos	removing folder items from	Command	Standard Additions : Folder Actions	1047
flow	workflows folder	Enumeration	Standard Additions : File Commands	1050
flst	after losing	Parameter of command: removing folder items from	Standard Additions : Folder Actions	1051
flst	after receiving	Parameter of command: adding folder items to	Standard Additions : Folder Actions	1052
fltp	as	Parameter of command: save	AppleScript Language	1053
fltp	as	Parameter of command: save	Cocoa Scripting : Standard Suite	1054
fnam	full name	Property of class: user	System Events : Accounts Suite	1055
fnsz	from	Parameter of command: moving folder window for	Standard Additions : Folder Actions	1056
foac	folder action	Class	System Events : Folder Actions Suite	1059
foac	folder actions	Class	System Events : Folder Actions Suite	1060
focu	focused	Property of class: UI element	System Events : Processes Suite	1061
font	font	Property of class: attribute run	Cocoa Scripting : Text Suite	1071
font	font	Property of class: character	Cocoa Scripting : Text Suite	1072
font	font	Property of class: paragraph	Cocoa Scripting : Text Suite	1073
font	font	Property of class: text	AppleScript Language	1074
font	font	Property of class: text	Cocoa Scripting : Text Suite	1075
font	font	Property of class: word	Cocoa Scripting : Text Suite	1076
font	fonts	Enumeration	Standard Additions : File Commands	1077
font	fonts folder	Enumeration	Standard Additions : File Commands	1078
font	fonts folder	Property of class: application	System Events : System Events Suite	1079
font	fonts folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	1080
font	fonts folder	Property of class: domain	System Events : Disk-Folder-File Suite	1081
fopn	opening folder	Command	Standard Additions : Folder Actions	1082
for	for	Parameter of command: Call•subroutine	AppleScript Language	1083
for	for	Parameter of command: clipboard info	Standard Additions : Clipboard Commands	1084
fpnt	fixed point	Class	AppleScript Language	1090
fpth	in	Parameter of command: store script	Standard Additions : Scripting Commands	1091
frct	fixed rectangle	Class	AppleScript Language	1093
fri	Friday	Class	AppleScript Language	1094
frmu	with user info	Parameter of command: handle CGI request	Standard Additions : Internet Suite	1095
from	from	Parameter of command: Call•subroutine	AppleScript Language	1096
from	from	Parameter of command: path to	Standard Additions : File Commands	1097
from	from	Parameter of command: random number	Standard Additions : Miscellaneous Commands	1098
froT	from table	Parameter of command: localized string	Standard Additions : String Commands	1101
frsp	free space	Property of class: disk	Finder : Containers and folders	1102
frsp	free space	Property of class: disk	System Events : Disk-Folder-File Suite	1103
fsiz	moving folder window for	Command	Standard Additions : Folder Actions	1104
fsiz	text size	Property of class: column view options	Finder : Type Definitions	1105
fsiz	text size	Property of class: icon view options	Finder : Type Definitions	1106
fsiz	text size	Property of class: list view options	Finder : Type Definitions	1107
fss	file specification	Class	AppleScript Language	1108
fss	file specifications	Class	AppleScript Language	1109
ftp	FTP item	Class	Standard Additions : Internet Suite	1110
ftp	FTP items	Class	Standard Additions : Internet Suite	1111
ftp	ftp URL	Enumeration	Standard Additions : Internet Suite	1112
FTPc	path	Property of class: URL	Standard Additions : Internet Suite	1113
ftyp	of type	Parameter of command: choose file	Standard Additions : User Interaction	1114
full	full	Enumeration	AppleScript Language	1115
fupd	update	Command	Finder : Finder items	1117
fvoc	voices	Enumeration	Standard Additions : File Commands	1118
fvoc	voices folder	Enumeration	Standard Additions : File Commands	1119
fvtg	target	Property of class: Finder window	Finder : Window classes	1120
galn	gallons	Class	AppleScript Language	1121
gavu	gave up	Property of class: alert reply	Standard Additions : User Interaction	1122
gavu	gave up	Property of class: dialog reply	Standard Additions : User Interaction	1124
gcli	type class info	Class	AppleScript Language	1125
gClp	the clipboard	Command	Standard Additions : Clipboard Commands	1126
geof	get eof	Command	Standard Additions : File Read/Write	1128
getd	get	Command	Cocoa Scripting : Standard Suite	1129
GIFf	GIF picture	Class	AppleScript Language	1130
givn	given	Parameter of command: Call•subroutine	AppleScript Language	1131
givu	giving up after	Parameter of command: display alert	Standard Additions : User Interaction	1132
givu	giving up after	Parameter of command: display dialog	Standard Additions : User Interaction	1134
GMT	time to GMT	Command	Standard Additions : Miscellaneous Commands	1135
gphr	gopher URL	Enumeration	Standard Additions : Internet Suite	1137
gpnl	General Information panel	Enumeration	Finder : Enumerations	1138
gppr	group privileges	Property of class: item	Finder : Finder items	1139
gram	grams	Class	AppleScript Language	1141
grda	snap to grid	Enumeration	Finder : Enumerations	1146
grow	grow area	Class	System Events : Processes Suite	1150
grow	grow areas	Class	System Events : Processes Suite	1151
grvw	group view	Enumeration	Finder : Enumerations	1152
gstl	computer	Deprecated terminology	Standard Additions : Hidden definitions	1153
gstl	system attribute	Command	Standard Additions : Miscellaneous Commands	1154
gstp	everyones privileges	Property of class: item	Finder : Finder items	1155
gtei	event info	Command	AppleScript Language	1156
gtsi	suite info	Command	AppleScript Language	1157
gtvl	get volume settings	Command	Standard Additions : Miscellaneous Commands	1158
GURL	open location	Command	Standard Additions : Internet Suite	1159
half	half	Enumeration	System Events : QuickTime File Suite	1163
hand	handler	Class	AppleScript Language	1164
hand	handlers	Class	AppleScript Language	1165
has	has	Parameter of command: system attribute	Standard Additions : Miscellaneous Commands	1167
hclb	closeable	Property of class: window	AppleScript Language	1174
hclb	closeable	Property of class: window	Cocoa Scripting : Standard Suite	1176
hclb	closeable	Property of class: window	Finder : Window classes	1177
help	help	Property of class: UI element	System Events : Processes Suite	1180
hidn	hidden	Enumeration	AppleScript Language	1183
hidn	hidden	Property of class: login item	System Events : Login Items Suite	1184
hidx	extension hidden	Property of class: file information	Standard Additions : File Commands	1185
hidx	extension hidden	Property of class: item	Finder : Finder items	1186
home	home	Property of class: application	Finder : Finder Basics	1194
home	home directory	Property of class: system information	Standard Additions : Miscellaneous Commands	1195
home	home directory	Property of class: user	System Events : Accounts Suite	1196
HOST	host	Property of class: URL	Standard Additions : Internet Suite	1201
hour	hours	Property of class: application	AppleScript Language	1202
hour	hours	Property of class: date	AppleScript Language	1203
hqua	high quality	Property of class: track	System Events : QuickTime File Suite	1205
href	href	Property of class: QuickTime data	System Events : QuickTime File Suite	1206
href	href	Property of class: track	System Events : QuickTime File Suite	1207
hscr	has scripting terminology	Property of class: application file	Finder : Files	1209
hscr	has scripting terminology	Property of class: process	Finder : Legacy suite	1210
hscr	has scripting terminology	Property of class: process	System Events : Processes Suite	1211
html	web page	Class	Standard Additions : Internet Suite	1212
html	web pages	Class	Standard Additions : Internet Suite	1213
htps	secure http URL	Enumeration	Standard Additions : Internet Suite	1214
http	http URL	Enumeration	Standard Additions : Internet Suite	1215
htxt	hidden answer	Parameter of command: display dialog	Standard Additions : User Interaction	1216
hyph	hyphens	Enumeration	AppleScript Language	1218
iarr	arrangement	Property of class: icon view options	Finder : Type Definitions	1220
ibkg	background picture	Property of class: icon view options	Finder : Type Definitions	1221
icl4	large 4 bit icon	Property of class: icon family	Finder : Type Definitions	1223
icl8	large 8 bit icon	Property of class: icon family	Finder : Type Definitions	1224
iClp	clipboard info	Command	Standard Additions : Clipboard Commands	1225
ICN#	large monochrome icon and mask	Property of class: icon family	Finder : Type Definitions	1226
icnv	icon view	Enumeration	Finder : Enumerations	1227
icop	icon view options	Class	Finder : Type Definitions	1229
icop	icon view options	Property of class: Finder window	Finder : Window classes	1230
icop	icon view options	Property of class: preferences	Finder : Type Definitions	1231
ics#	small monochrome icon and mask	Property of class: icon family	Finder : Type Definitions	1232
ics4	small 4 bit icon	Property of class: icon family	Finder : Type Definitions	1233
ics8	small 8 bit icon	Property of class: icon family	Finder : Type Definitions	1234
ics8	small 8 bit mask	Property of class: icon family	Finder : Type Definitions	1235
ID  	id	Enumeration	AppleScript Language	1236
ID  	id	Property of class: annotation	System Events : QuickTime File Suite	1237
ID  	id	Property of class: disk item	System Events : Disk-Folder-File Suite	1238
ID  	id	Property of class: domain	System Events : Disk-Folder-File Suite	1239
ID  	id	Property of class: item	AppleScript Language	1240
ID  	id	Property of class: item	System Events : Disk-Folder-File Suite	1242
ID  	id	Property of class: process	System Events : Processes Suite	1243
ID  	id	Property of class: window	Cocoa Scripting : Standard Suite	1244
ID  	id	Property of class: window	Finder : Window classes	1245
idle	idle	Command	AppleScript Language	1250
idux	unix id	Property of class: process	System Events : Processes Suite	1252
ifam	icon family	Class	Finder : Type Definitions	1254
igpr	ignore privileges	Property of class: disk	Finder : Containers and folders	1256
igpr	ignore privileges	Property of class: disk	System Events : Disk-Folder-File Suite	1257
iimg	icon	Property of class: item	Finder : Finder items	1258
il32	large 32 bit icon	Property of class: icon family	Finder : Type Definitions	1259
iloc	location	Property of class: internet location file	Finder : Files	1260
imaA	image	Class	System Events : Processes Suite	1262
imaA	images	Class	System Events : Processes Suite	1271
imap	mailbox access URL	Enumeration	Standard Additions : Internet Suite	1288
imod	modified	Property of class: document	AppleScript Language	1301
imod	modified	Property of class: document	Cocoa Scripting : Standard Suite	1303
in B	in bundle	Parameter of command: localized string	Standard Additions : String Commands	1309
in B	in bundle	Parameter of command: path to resource	Standard Additions : File Commands	1310
in D	in directory	Parameter of command: path to resource	Standard Additions : File Commands	1315
in  	in	Parameter of command: summarize	Standard Additions : String Commands	1316
incE	increment	Deprecated terminology	System Events : Hidden Suite	1318
inch	inches	Class	AppleScript Language	1319
incr	incrementor	Class	System Events : Processes Suite	1320
incr	incrementors	Class	System Events : Processes Suite	1321
indx	index	Enumeration	AppleScript Language	1324
indx	using action number	Parameter of command: edit action of	System Events : Folder Actions Suite	1325
indx	using action number	Parameter of command: remove action from	System Events : Folder Actions Suite	1326
infA	informational	Enumeration	Standard Additions : User Interaction	1328
inlf	internet location file	Class	Finder : Files	1330
inlf	internet location files	Class	Finder : Files	1331
insh	at	Parameter of command: click	System Events : Processes Suite	1333
insh	at	Parameter of command: make	AppleScript Language	1334
insh	at	Parameter of command: make	Cocoa Scripting : Standard Suite	1335
insh	at	Parameter of command: make	Finder : Standard Suite	1336
insh	to	Parameter of command: duplicate	AppleScript Language	1337
insh	to	Parameter of command: duplicate	Cocoa Scripting : Standard Suite	1338
insh	to	Parameter of command: duplicate	Finder : Standard Suite	1339
insh	to	Parameter of command: move	AppleScript Language	1340
insh	to	Parameter of command: move	Cocoa Scripting : Standard Suite	1341
insh	to	Parameter of command: move	Finder : Standard Suite	1342
insh	to	Parameter of command: move	System Events : Disk-Folder-File Suite	1343
inSL	default items	Parameter of command: choose from list	Standard Additions : User Interaction	1344
insl	location reference	Class	AppleScript Language	1345
into	into	Parameter of command: Call•subroutine	AppleScript Language	1346
invl	input volume	Parameter of command: set volume	Standard Additions : Miscellaneous Commands	1352
invl	input volume	Property of class: volume settings	Standard Additions : Miscellaneous Commands	1353
IPAD	Internet address	Class	Standard Additions : Internet Suite	1355
IPAD	Internet addresses	Class	Standard Additions : Internet Suite	1356
is32	small 32 bit icon	Property of class: icon family	Finder : Type Definitions	1357
isab	accepts high level events	Property of class: application file	Finder : Files	1358
isab	accepts high level events	Property of class: process	Finder : Legacy suite	1359
isab	accepts high level events	Property of class: process	System Events : Processes Suite	1360
isej	ejectable	Property of class: disk	Finder : Containers and folders	1361
isej	ejectable	Property of class: disk	System Events : Disk-Folder-File Suite	1362
isfl	floating	Property of class: window	AppleScript Language	1364
isfl	floating	Property of class: window	Cocoa Scripting : Standard Suite	1366
isfl	floating	Property of class: window	Finder : Window classes	1367
ismn	miniaturizable	Property of class: window	Cocoa Scripting : Standard Suite	1369
ispk	package folder	Property of class: file information	Standard Additions : File Commands	1370
isrv	local volume	Property of class: disk	Finder : Containers and folders	1371
isrv	local volume	Property of class: disk	System Events : Disk-Folder-File Suite	1372
isss	stored stream	Property of class: QuickTime data	System Events : QuickTime File Suite	1373
istd	startup	Property of class: disk	Finder : Containers and folders	1374
istd	startup	Property of class: disk	System Events : Disk-Folder-File Suite	1375
isto	instead of	Parameter of command: Call•subroutine	AppleScript Language	1376
iszm	zoomable	Property of class: window	AppleScript Language	1377
iszm	zoomable	Property of class: window	Cocoa Scripting : Standard Suite	1379
iszm	zoomable	Property of class: window	Finder : Window classes	1380
ital	italic	Enumeration	AppleScript Language	1382
itxt	international text	Class	AppleScript Language	1390
iwnd	information window	Class	Finder : Window classes	1391
iwnd	information window	Property of class: item	Finder : Finder items	1392
jan	January	Class	AppleScript Language	1393
Jdoc	music folder	Property of class: application	System Events : System Events Suite	1394
JPEG	JPEG picture	Class	AppleScript Language	1395
Jrnl	journaling enabled	Property of class: disk	Finder : Containers and folders	1396
jul	July	Class	AppleScript Language	1397
jun	June	Class	AppleScript Language	1398
Kact	of action type	Parameter of command: handle CGI request	Standard Additions : Internet Suite	1402
Kapt	using action	Parameter of command: handle CGI request	Standard Additions : Internet Suite	1403
kchn	keychain folder	Enumeration	Standard Additions : File Commands	1404
Kcid	with connection ID	Parameter of command: handle CGI request	Standard Additions : Internet Suite	1405
Kcip	from client IP address	Parameter of command: handle CGI request	Standard Additions : Internet Suite	1406
Kclk	caps lock down	Enumeration	AppleScript Language	1407
Kcmd	command down	Enumeration	AppleScript Language	1408
Kcmd	command down	Enumeration	System Events : Processes Suite	1409
kcod	key code	Command	System Events : Processes Suite	1410
Kctl	control down	Enumeration	AppleScript Language	1411
Kctl	control down	Enumeration	System Events : Processes Suite	1412
keyF	key down	Deprecated terminology	System Events : Hidden Suite	1421
keyU	key up	Deprecated terminology	System Events : Hidden Suite	1426
kfil	in	Parameter of command: save	AppleScript Language	1429
kfil	in	Parameter of command: save	Cocoa Scripting : Standard Suite	1430
kfil	saving in	Parameter of command: close	AppleScript Language	1431
kfil	saving in	Parameter of command: close	Cocoa Scripting : Standard Suite	1432
kfor	searching for	Parameter of command: handle CGI request	Standard Additions : Internet Suite	1433
kfrm	reference form	Class	AppleScript Language	1434
kfrm	reference forms	Class	AppleScript Language	1435
Kfrq	with full request	Parameter of command: handle CGI request	Standard Additions : Internet Suite	1436
kgrm	kilograms	Class	AppleScript Language	1437
kina	arranged by kind	Enumeration	Finder : Enumerations	1438
kind	kind	Enumeration	Finder : Enumerations	1439
kind	kind	Property of class: alias	System Events : Disk-Folder-File Suite	1440
kind	kind	Property of class: file	System Events : Disk-Folder-File Suite	1441
kind	kind	Property of class: file information	Standard Additions : File Commands	1442
kind	kind	Property of class: FTP item	Standard Additions : Internet Suite	1443
kind	kind	Property of class: item	Finder : Finder items	1444
kind	kind	Property of class: login item	System Events : Login Items Suite	1445
kind	kind	Property of class: property list item	System Events : Property List Suite	1446
kind	kind	Property of class: track	System Events : QuickTime File Suite	1447
kknd	key kind	Property of class: keystroke	AppleScript Language	1448
kMod	modifiers	Property of class: keystroke	AppleScript Language	1449
kMsg	key	Property of class: keystroke	AppleScript Language	1450
kmtr	kilometers	Class	AppleScript Language	1451
kmtr	kilometres	Class	AppleScript Language	1452
kocl	each	Parameter of command: count	AppleScript Language	1454
kocl	each	Parameter of command: count	Cocoa Scripting : Standard Suite	1455
kocl	each	Parameter of command: count	Finder : Standard Suite	1456
kocl	new	Parameter of command: make	AppleScript Language	1457
kocl	new	Parameter of command: make	Cocoa Scripting : Standard Suite	1458
kocl	new	Parameter of command: make	Finder : Standard Suite	1459
Kopt	option down	Enumeration	AppleScript Language	1460
Kopt	option down	Enumeration	System Events : Processes Suite	1461
kprs	keystroke	Class	AppleScript Language	1462
kprs	keystroke	Command	System Events : Processes Suite	1463
kprs	keystrokes	Class	AppleScript Language	1464
Ksft	shift down	Enumeration	AppleScript Language	1465
Ksft	shift down	Enumeration	System Events : Processes Suite	1466
l8mk	large 8 bit mask	Property of class: icon family	Finder : Type Definitions	1467
laba	arranged by label	Enumeration	Finder : Enumerations	1468
labi	label index	Enumeration	Finder : Enumerations	1471
labi	label index	Property of class: item	Finder : Finder items	1472
lact	attached scripts	Command	System Events : Folder Actions Suite	1473
laun	launch URL	Enumeration	Standard Additions : Internet Suite	1476
laun	launcher items folder	Enumeration	Standard Additions : File Commands	1477
laun	launcher items folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	1478
lbot	bottom	Enumeration	Finder : Enumerations	1481
lbs	pounds	Class	AppleScript Language	1482
ldsa	host name	Property of class: system information	Standard Additions : Miscellaneous Commands	1483
ldt	date	Class	AppleScript Language	1484
ldt	dates	Class	AppleScript Language	1485
left	left	Enumeration	AppleScript Language	1491
leng	length	Property of class: linked list	AppleScript Language	1492
leng	length	Property of class: list	AppleScript Language	1493
leng	length	Property of class: vector	AppleScript Language	1494
lfdr	list folder	Command	Standard Additions : File Commands	1499
lfiv	invisibles	Parameter of command: choose file	Standard Additions : User Interaction	1500
lfiv	invisibles	Parameter of command: choose folder	Standard Additions : User Interaction	1501
lfiv	invisibles	Parameter of command: list folder	Standard Additions : File Commands	1502
lfpt	long fixed point	Class	AppleScript Language	1503
lfrc	long fixed rectangle	Class	AppleScript Language	1504
lfxd	long fixed	Class	AppleScript Language	1505
lgic	large	Enumeration	Finder : Enumerations	1506
lgic	large icon	Enumeration	Finder : Enumerations	1507
list	list	Class	AppleScript Language	1512
list	list	Class	System Events : Processes Suite	1513
list	lists	Class	AppleScript Language	1514
list	lists	Class	System Events : Processes Suite	1515
litr	liters	Class	AppleScript Language	1516
litr	litres	Class	AppleScript Language	1517
llst	linked list	Class	AppleScript Language	1518
llst	linked lists	Class	AppleScript Language	1519
load	load script	Command	Standard Additions : Scripting Commands	1525
locS	localized string	Command	Standard Additions : String Commands	1536
log0	stop log	Command	AppleScript Language	1540
log1	start log	Command	AppleScript Language	1541
logi	login item	Class	System Events : Login Items Suite	1542
logi	login items	Class	System Events : Login Items Suite	1543
logo	log out	Command	System Events : Power Suite	1544
long	integer	Class	AppleScript Language	1545
long	integers	Class	AppleScript Language	1546
loop	looping	Property of class: QuickTime data	System Events : QuickTime File Suite	1549
lowc	all lowercase	Enumeration	AppleScript Language	1550
lpnt	long point	Class	AppleScript Language	1551
lpos	label position	Property of class: icon view options	Finder : Type Definitions	1552
lr  	list or record	Class	AppleScript Language	1553
lrct	long rectangle	Class	AppleScript Language	1554
lrgt	right	Enumeration	Finder : Enumerations	1555
lrs	list, record or text	Class	AppleScript Language	1556
ls  	list or string	Class	AppleScript Language	1557
lsvw	list view	Enumeration	Finder : Enumerations	1558
lvcl	column	Class	Finder : Type Definitions	1560
lvcl	columns	Class	Finder : Type Definitions	1561
lvis	icon size	Property of class: icon view options	Finder : Type Definitions	1562
lvis	icon size	Property of class: list view options	Finder : Type Definitions	1563
lvol	list disks	Command	Standard Additions : File Commands	1564
lvop	list view options	Class	Finder : Type Definitions	1565
lvop	list view options	Property of class: Finder window	Finder : Window classes	1566
lvop	list view options	Property of class: preferences	Finder : Type Definitions	1567
lwcl	collating	Property of class: print settings	Cocoa Scripting : Type Definitions	1568
lwcp	copies	Property of class: print settings	Cocoa Scripting : Type Definitions	1569
lwdt	detailed	Enumeration	Cocoa Scripting : Type Definitions	1570
lweh	error handling	Property of class: print settings	Cocoa Scripting : Type Definitions	1571
lwfp	starting page	Property of class: print settings	Cocoa Scripting : Type Definitions	1572
lwla	pages across	Property of class: print settings	Cocoa Scripting : Type Definitions	1573
lwld	pages down	Property of class: print settings	Cocoa Scripting : Type Definitions	1574
lwlp	ending page	Property of class: print settings	Cocoa Scripting : Type Definitions	1575
lwnd	clipping window	Class	Finder : Window classes	1576
lwnd	clipping window	Property of class: clipping	Finder : Files	1577
lwnd	clipping windows	Class	Finder : Window classes	1578
lwst	standard	Enumeration	Cocoa Scripting : Type Definitions	1579
mach	machine	Class	AppleScript Language	1580
mach	machines	Class	AppleScript Language	1581
macs	system folder	Enumeration	Standard Additions : File Commands	1583
macs	system folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	1584
magn	unsigned integer	Class	AppleScript Language	1586
mail	mail URL	Enumeration	Standard Additions : Internet Suite	1589
mar	March	Class	AppleScript Language	1592
maxV	maximum value	Property of class: UI element	System Events : Processes Suite	1603
may	May	Class	AppleScript Language	1605
mbar	menu bar	Class	System Events : Processes Suite	1606
mbar	menu bars	Class	System Events : Processes Suite	1607
mbox	mailbox URL	Enumeration	Standard Additions : Internet Suite	1608
mbri	menu bar item	Class	System Events : Processes Suite	1609
mbri	menu bar items	Class	System Events : Processes Suite	1610
mdcr	creation time	Property of class: QuickTime data	System Events : QuickTime File Suite	1611
mdcr	creation time	Property of class: track	System Events : QuickTime File Suite	1612
mdoc	movies folder	Enumeration	Standard Additions : File Commands	1613
mdoc	movies folder	Property of class: application	System Events : System Events Suite	1614
mdoc	movies folder	Property of class: user domain object	System Events : Disk-Folder-File Suite	1615
mdta	arranged by modification date	Enumeration	Finder : Enumerations	1616
mdtm	modification time	Property of class: QuickTime data	System Events : QuickTime File Suite	1617
mdtm	modification time	Property of class: track	System Events : QuickTime File Suite	1618
menB	menu button	Class	System Events : Processes Suite	1620
menB	menu buttons	Class	System Events : Processes Suite	1621
menE	menu	Class	System Events : Processes Suite	1623
menE	menus	Class	System Events : Processes Suite	1628
menI	menu item	Class	System Events : Processes Suite	1630
menI	menu items	Class	System Events : Processes Suite	1632
mesS	message	Parameter of command: display alert	Standard Additions : User Interaction	1634
mess	message URL	Enumeration	Standard Additions : Internet Suite	1635
meth	using access method	Parameter of command: handle CGI request	Standard Additions : Internet Suite	1636
metr	meters	Class	AppleScript Language	1637
metr	metres	Class	AppleScript Language	1638
miic	mini	Enumeration	Finder : Enumerations	1641
mile	miles	Class	AppleScript Language	1642
min	minutes	Property of class: application	AppleScript Language	1643
min	minutes	Property of class: date	AppleScript Language	1644
minW	minimum value	Property of class: UI element	System Events : Processes Suite	1655
mLoc	machine location	Class	AppleScript Language	1659
mlsl	multiple selections allowed	Parameter of command: choose application	Standard Additions : User Interaction	1660
mlsl	multiple selections allowed	Parameter of command: choose file	Standard Additions : User Interaction	1661
mlsl	multiple selections allowed	Parameter of command: choose folder	Standard Additions : User Interaction	1662
mlsl	multiple selections allowed	Parameter of command: choose from list	Standard Additions : User Interaction	1663
mnfo	shows item info	Property of class: icon view options	Finder : Type Definitions	1664
mnth	month	Class	AppleScript Language	1668
mnth	month	Property of class: date	AppleScript Language	1669
mnth	months	Class	AppleScript Language	1670
mod	mod	Command	AppleScript Language	1672
mon	Monday	Class	AppleScript Language	1679
movd	movie data	Class	System Events : Movie File Suite	1687
move	move	Command	AppleScript Language	1688
move	move	Command	Cocoa Scripting : Standard Suite	1689
move	move	Command	Finder : Standard Suite	1690
move	move	Command	System Events : Disk-Folder-File Suite	1691
movf	movie file	Class	System Events : Movie File Suite	1693
movf	movie files	Class	System Events : Movie File Suite	1694
mpnl	Memory panel	Enumeration	Finder : Enumerations	1703
mprt	minimum size	Property of class: application file	Finder : Files	1704
msng	missing value	Class	AppleScript Language	1705
msng	missing values	Class	AppleScript Language	1706
mult	multi URL	Enumeration	Standard Additions : Internet Suite	1707
mute	output muted	Parameter of command: set volume	Standard Additions : Miscellaneous Commands	1708
mute	output muted	Property of class: volume settings	Standard Additions : Miscellaneous Commands	1709
